"","n1","n2","n3","n4","n5","others","p1","p2","p3","p4","p5","sum"
"4782",3,5,5,1,0,16,0.578,0.937,0.998,0.999,1,192
"4783",4,3,6,1,0,16,0.657,0.898,0.999,1,1,192
"4784",3,6,3,2,0,16,0.557,0.966,0.991,1,1,192
"4785",4,4,4,2,0,16,0.67,0.948,0.994,0.999,1,192
"4786",5,2,5,2,0,16,0.774,0.921,0.999,0.999,1,192
"4787",6,0,6,2,0,16,0.824,0.876,0.996,0.999,0.999,192
"4788",4,5,2,3,0,16,0.676,0.951,0.992,0.999,1,192
"4789",5,3,3,3,0,16,0.757,0.946,0.992,1,1,192
"4790",6,1,4,3,0,16,0.803,0.899,0.994,1,1,192
"4791",0,6,6,3,0,15,0,0.862,0.997,1,1,192
"4792",4,6,0,4,0,16,0.7,0.971,0.982,0.999,1,192
"4793",5,4,1,4,0,16,0.744,0.954,0.979,0.999,1,192
"4794",6,2,2,4,0,16,0.836,0.947,0.987,0.999,0.999,192
"4795",1,5,5,4,0,15,0.249,0.864,0.993,1,1,192
"4796",2,3,6,4,0,15,0.416,0.812,0.995,1,1,192
"4797",6,3,0,5,0,16,0.82,0.95,0.972,0.998,1,192
"4798",1,6,3,5,0,15,0.262,0.906,0.987,1,1,192
"4799",2,4,4,5,0,15,0.398,0.873,0.98,1,1,192
"4800",3,2,5,5,0,15,0.518,0.785,0.984,1,1,192
"4801",4,0,6,5,0,15,0.654,0.7,0.984,1,1,192
"4802",2,5,2,6,0,15,0.404,0.911,0.977,0.999,1,192
"4803",3,3,3,6,0,15,0.555,0.863,0.974,1,1,192
"4804",4,1,4,6,0,15,0.65,0.79,0.967,0.999,0.999,192
"4805",3,6,4,0,1,16,0.55,0.957,0.998,0.999,1,192
"4806",4,4,5,0,1,16,0.66,0.94,0.996,0.997,1,192
"4807",5,2,6,0,1,16,0.735,0.902,0.998,0.999,0.999,192
"4808",4,5,3,1,1,16,0.684,0.961,0.998,0.999,1,192
"4809",5,3,4,1,1,16,0.758,0.93,0.999,1,1,192
"4810",6,1,5,1,1,16,0.835,0.914,0.992,0.997,0.999,192
"4811",4,6,1,2,1,16,0.683,0.975,0.992,1,1,192
"4812",5,4,2,2,1,16,0.75,0.955,0.991,1,1,192
"4813",6,2,3,2,1,16,0.815,0.946,0.992,0.999,1,192
"4814",1,5,6,2,1,15,0.232,0.857,0.997,1,1,192
"4815",5,5,0,3,1,16,0.739,0.97,0.983,1,1,192
"4816",6,3,1,3,1,16,0.832,0.958,0.983,1,1,192
"4817",1,6,4,3,1,15,0.224,0.91,0.99,0.998,1,192
"4818",2,4,5,3,1,15,0.414,0.879,0.989,0.999,1,192
"4819",3,2,6,3,1,15,0.551,0.795,0.992,1,1,192
"4820",2,5,3,4,1,15,0.387,0.9,0.99,1,1,192
"4821",3,3,4,4,1,15,0.549,0.863,0.982,0.999,1,192
"4822",4,1,5,4,1,15,0.667,0.797,0.985,1,1,192
"4823",2,6,1,5,1,15,0.404,0.93,0.969,1,1,192
"4824",3,4,2,5,1,15,0.537,0.902,0.979,1,1,192
"4825",4,2,3,5,1,15,0.673,0.865,0.976,1,1,192
"4826",5,0,4,5,1,15,0.759,0.807,0.975,1,1,192
"4827",3,5,0,6,1,15,0.55,0.945,0.961,1,1,192
"4828",4,3,1,6,1,15,0.69,0.906,0.954,1,1,192
"4829",5,1,2,6,1,15,0.756,0.86,0.95,0.999,1,192
"4830",0,4,5,6,1,14,0,0.727,0.967,0.999,1,192
"4831",1,2,6,6,1,14,0.243,0.617,0.978,1,1,192
"4832",4,6,2,0,2,16,0.677,0.977,0.995,0.999,1,192
"4833",5,4,3,0,2,16,0.759,0.969,0.997,0.998,1,192
"4834",6,2,4,0,2,16,0.833,0.936,0.994,0.996,1,192
"4835",5,5,1,1,2,16,0.739,0.973,0.993,0.996,0.999,192
"4836",6,3,2,1,2,16,0.839,0.962,0.993,0.998,1,192
"4837",1,6,5,1,2,15,0.206,0.908,0.998,0.999,1,192
"4838",2,4,6,1,2,15,0.411,0.861,0.995,0.999,1,192
"4839",6,4,0,2,2,16,0.832,0.978,0.985,0.998,1,192
"4840",2,5,4,2,2,15,0.395,0.906,0.993,1,1,192
"4841",3,3,5,2,2,15,0.539,0.85,0.993,1,1,192
"4842",4,1,6,2,2,15,0.675,0.798,0.996,1,1,192
"4843",2,6,2,3,2,15,0.405,0.943,0.988,0.999,1,192
"4844",3,4,3,3,2,15,0.531,0.905,0.979,0.996,1,192
"4845",4,2,4,3,2,15,0.668,0.871,0.981,1,1,192
"4846",5,0,5,3,2,15,0.75,0.809,0.987,0.999,1,192
"4847",3,5,1,4,2,15,0.564,0.931,0.97,0.999,1,192
"4848",4,3,2,4,2,15,0.65,0.9,0.966,1,1,192
"4849",5,1,3,4,2,15,0.743,0.866,0.979,0.997,1,192
"4850",0,4,6,4,2,14,0,0.731,0.98,1,1,192
"4851",4,4,0,5,2,15,0.648,0.922,0.942,1,1,192
"4852",5,2,1,5,2,15,0.747,0.902,0.956,0.999,0.999,192
"4853",6,0,2,5,2,15,0.824,0.851,0.948,0.999,1,192
"4854",0,5,4,5,2,14,0,0.826,0.969,0.999,1,192
"4855",1,3,5,5,2,14,0.219,0.73,0.974,1,1,192
"4856",2,1,6,5,2,14,0.411,0.63,0.967,0.998,1,192
"4857",6,1,0,6,2,15,0.834,0.911,0.937,0.999,1,192
"4858",0,6,2,6,2,14,0,0.876,0.966,0.999,1,192
"4859",1,4,3,6,2,14,0.227,0.805,0.957,1,1,192
"4860",2,2,4,6,2,14,0.415,0.713,0.957,0.999,1,192
"4861",3,0,5,6,2,14,0.552,0.616,0.962,0.999,1,192
"4862",5,6,0,0,3,16,0.759,0.979,0.99,0.993,1,192
"4863",6,4,1,0,3,16,0.827,0.976,0.992,0.997,1,192
"4864",2,5,5,0,3,15,0.39,0.894,0.995,0.997,0.999,192
"4865",3,3,6,0,3,15,0.559,0.88,0.994,0.997,1,192
"4866",2,6,3,1,3,15,0.405,0.933,0.99,0.995,1,192
"4867",3,4,4,1,3,15,0.532,0.902,0.994,0.996,1,192
"4868",4,2,5,1,3,15,0.675,0.886,0.991,0.998,1,192
"4869",5,0,6,1,3,15,0.752,0.804,0.991,0.998,1,192
"4870",3,5,2,2,3,15,0.574,0.939,0.982,0.997,1,192
"4871",4,3,3,2,3,15,0.659,0.883,0.982,0.999,1,192
"4872",5,1,4,2,3,15,0.749,0.853,0.982,0.996,1,192
"4873",3,6,0,3,3,15,0.57,0.964,0.979,0.999,1,192
"4874",4,4,1,3,3,15,0.688,0.943,0.971,0.996,1,192
"4875",5,2,2,3,3,15,0.763,0.924,0.977,0.999,1,192
"4876",6,0,3,3,3,15,0.84,0.878,0.979,0.998,1,192
"4877",0,5,5,3,3,14,0,0.812,0.988,1,1,192
"4878",1,3,6,3,3,14,0.249,0.718,0.994,1,1,192
"4879",5,3,0,4,3,15,0.767,0.932,0.955,0.995,1,192
"4880",6,1,1,4,3,15,0.833,0.902,0.956,0.999,1,192
"4881",0,6,3,4,3,14,0,0.878,0.982,1,1,192
"4882",1,4,4,4,3,14,0.215,0.81,0.982,1,1,192
"4883",2,2,5,4,3,14,0.433,0.738,0.973,0.996,1,192
"4884",3,0,6,4,3,14,0.58,0.628,0.97,1,1,192
"4885",1,5,2,5,3,14,0.224,0.878,0.966,1,1,192
"4886",2,3,3,5,3,14,0.424,0.827,0.954,0.997,1,192
"4887",3,1,4,5,3,14,0.552,0.721,0.96,0.999,1,192
"4888",1,6,0,6,3,14,0.21,0.902,0.928,1,1,192
"4889",2,4,1,6,3,14,0.385,0.869,0.932,1,1,192
"4890",3,2,2,6,3,14,0.585,0.816,0.933,0.999,1,192
"4891",4,0,3,6,3,14,0.665,0.727,0.922,0.998,1,192
"4892",3,5,3,0,4,15,0.521,0.933,0.986,0.994,1,192
"4893",4,3,4,0,4,15,0.682,0.907,0.997,0.999,1,192
"4894",5,1,5,0,4,15,0.755,0.864,0.992,0.994,1,192
"4895",3,6,1,1,4,15,0.589,0.976,0.993,1,1,192
"4896",4,4,2,1,4,15,0.671,0.937,0.983,0.994,1,192
"4897",5,2,3,1,4,15,0.77,0.92,0.982,0.994,1,192
"4898",6,0,4,1,4,15,0.813,0.86,0.989,0.997,1,192
"4899",0,5,6,1,4,14,0,0.803,0.988,0.993,1,192
"4900",4,5,0,2,4,15,0.66,0.967,0.981,0.998,1,192
"4901",5,3,1,2,4,15,0.773,0.932,0.973,0.996,1,192
"4902",6,1,2,2,4,15,0.836,0.918,0.979,0.997,1,192
"4903",0,6,4,2,4,14,0,0.869,0.984,0.997,1,192
"4904",1,4,5,2,4,14,0.215,0.796,0.987,0.999,1,192
"4905",2,2,6,2,4,14,0.412,0.712,0.992,0.999,1,192
"4906",6,2,0,3,4,15,0.81,0.928,0.952,0.996,1,192
"4907",1,5,3,3,4,14,0.205,0.855,0.969,0.995,1,192
"4908",2,3,4,3,4,14,0.435,0.788,0.973,0.996,1,192
"4909",3,1,5,3,4,14,0.542,0.728,0.967,0.997,1,192
"4910",1,6,1,4,4,14,0.258,0.912,0.967,0.998,1,192
"4911",2,4,2,4,4,14,0.42,0.881,0.964,0.999,1,192
"4912",3,2,3,4,4,14,0.557,0.812,0.958,0.998,1,192
"4913",4,0,4,4,4,14,0.667,0.732,0.967,0.999,1,192
"4914",2,5,0,5,4,14,0.411,0.903,0.935,1,1,192
"4915",3,3,1,5,4,14,0.556,0.863,0.937,0.999,1,192
"4916",4,1,2,5,4,14,0.665,0.8,0.943,1,1,192
"4917",0,3,4,6,4,13,0,0.587,0.941,1,1,192
"4918",4,5,1,0,5,15,0.685,0.968,0.986,0.991,1,192
"4919",5,3,2,0,5,15,0.761,0.94,0.982,0.988,1,192
"4920",6,1,3,0,5,15,0.845,0.929,0.985,0.988,1,192
"4921",0,6,5,0,5,14,0,0.88,0.994,0.995,1,192
"4922",1,4,6,0,5,14,0.234,0.781,0.991,0.994,1,192
"4923",5,4,0,1,5,15,0.768,0.962,0.977,0.991,1,192
"4924",6,2,1,1,5,15,0.799,0.926,0.979,0.991,1,192
"4925",1,5,4,1,5,14,0.24,0.86,0.975,0.995,1,192
"4926",2,3,5,1,5,14,0.406,0.803,0.987,0.997,1,192
"4927",3,1,6,1,5,14,0.6,0.752,0.985,0.997,1,192
"4928",1,6,2,2,5,14,0.247,0.913,0.974,0.995,1,192
"4929",2,4,3,2,5,14,0.412,0.859,0.963,0.991,1,192
"4930",3,2,4,2,5,14,0.568,0.804,0.968,0.99,1,192
"4931",4,0,5,2,5,14,0.671,0.721,0.979,0.996,1,192
"4932",2,5,1,3,5,14,0.421,0.914,0.967,0.996,1,192
"4933",3,3,2,3,5,14,0.52,0.844,0.956,0.996,1,192
"4934",4,1,3,3,5,14,0.688,0.805,0.96,0.996,1,192
"4935",3,4,0,4,5,14,0.54,0.906,0.927,0.993,1,192
"4936",4,2,1,4,5,14,0.693,0.872,0.949,0.993,1,192
"4937",5,0,2,4,5,14,0.77,0.81,0.949,0.997,1,192
"4938",0,3,5,4,5,13,0,0.598,0.96,0.997,1,192
"4939",0,4,3,5,5,13,0,0.749,0.939,0.998,1,192
"4940",1,2,4,5,5,13,0.235,0.627,0.939,0.997,1,192
"4941",1,3,2,6,5,13,0.248,0.717,0.911,1,1,192
"4942",6,3,0,0,6,15,0.824,0.965,0.973,0.986,1,192
"4943",1,6,3,0,6,14,0.229,0.901,0.976,0.987,1,192
"4944",2,4,4,0,6,14,0.415,0.863,0.984,0.99,1,192
"4945",3,2,5,0,6,14,0.532,0.804,0.988,0.989,1,192
"4946",4,0,6,0,6,14,0.678,0.733,0.986,0.99,1,192
"4947",2,5,2,1,6,14,0.384,0.902,0.981,0.994,1,192
"4948",3,3,3,1,6,14,0.571,0.874,0.979,0.995,1,192
"4949",4,1,4,1,6,14,0.686,0.804,0.985,0.996,1,192
"4950",2,6,0,2,6,14,0.395,0.949,0.963,0.997,1,192
"4951",3,4,1,2,6,14,0.586,0.905,0.952,0.992,1,192
"4952",4,2,2,2,6,14,0.652,0.857,0.959,0.993,1,192
"4953",5,0,3,2,6,14,0.748,0.802,0.952,0.989,1,192
"4954",0,3,6,2,6,13,0,0.621,0.98,0.995,1,192
"4955",4,3,0,3,6,14,0.685,0.895,0.928,0.991,1,192
"4956",5,1,1,3,6,14,0.742,0.837,0.918,0.992,1,192
"4957",0,4,4,3,6,13,0,0.726,0.962,0.998,1,192
"4958",1,2,5,3,6,13,0.235,0.591,0.958,0.992,1,192
"4959",0,5,2,4,6,13,0,0.782,0.935,0.993,1,192
"4960",1,3,3,4,6,13,0.222,0.712,0.941,0.996,1,192
"4961",2,1,4,4,6,13,0.435,0.625,0.93,0.994,1,192
"4962",0,6,0,5,6,13,0,0.869,0.901,0.994,1,192
"4963",2,2,2,5,6,13,0.426,0.722,0.901,0.994,1,192
"4964",6,6,1,0,0,17,0.827,0.993,0.998,0.998,0.999,191
"4965",3,5,6,0,0,16,0.561,0.933,0.996,0.997,1,191
"4966",3,6,4,1,0,16,0.543,0.959,0.995,1,1,191
"4967",4,4,5,1,0,16,0.667,0.942,0.996,1,1,191
"4968",5,2,6,1,0,16,0.77,0.911,0.998,1,1,191
"4969",4,5,3,2,0,16,0.664,0.96,0.992,0.999,1,191
"4970",5,3,4,2,0,16,0.781,0.94,0.999,1,1,191
"4971",6,1,5,2,0,16,0.832,0.903,0.994,0.999,1,191
"4972",4,6,1,3,0,16,0.669,0.969,0.987,0.999,1,191
"4973",5,4,2,3,0,16,0.751,0.963,0.991,0.999,0.999,191
"4974",6,2,3,3,0,16,0.823,0.943,0.992,1,1,191
"4975",1,5,6,3,0,15,0.246,0.851,0.995,1,1,191
"4976",5,5,0,4,0,16,0.752,0.979,0.99,0.999,1,191
"4977",6,3,1,4,0,16,0.816,0.963,0.979,0.999,1,191
"4978",1,6,4,4,0,15,0.216,0.906,0.989,1,1,191
"4979",2,4,5,4,0,15,0.435,0.862,0.987,0.999,0.999,191
"4980",3,2,6,4,0,15,0.546,0.791,0.984,1,1,191
"4981",2,5,3,5,0,15,0.449,0.924,0.987,1,1,191
"4982",3,3,4,5,0,15,0.54,0.872,0.983,1,1,191
"4983",4,1,5,5,0,15,0.679,0.822,0.987,1,1,191
"4984",2,6,1,6,0,15,0.43,0.935,0.97,1,1,191
"4985",3,4,2,6,0,15,0.589,0.917,0.981,1,1,191
"4986",4,2,3,6,0,15,0.664,0.884,0.976,0.999,1,191
"4987",5,0,4,6,0,15,0.765,0.809,0.973,1,1,191
"4988",4,5,4,0,1,16,0.643,0.95,0.996,0.999,1,191
"4989",5,3,5,0,1,16,0.779,0.936,0.999,1,1,191
"4990",6,1,6,0,1,16,0.824,0.903,0.999,0.999,0.999,191
"4991",4,6,2,1,1,16,0.669,0.977,0.994,0.999,1,191
"4992",5,4,3,1,1,16,0.746,0.949,0.994,1,1,191
"4993",6,2,4,1,1,16,0.827,0.958,0.995,0.999,1,191
"4994",5,5,1,2,1,16,0.744,0.972,0.988,0.997,0.998,191
"4995",6,3,2,2,1,16,0.815,0.944,0.991,0.999,0.999,191
"4996",1,6,5,2,1,15,0.218,0.907,0.994,0.998,0.999,191
"4997",2,4,6,2,1,15,0.44,0.859,0.999,1,1,191
"4998",6,4,0,3,1,16,0.83,0.977,0.984,0.998,1,191
"4999",2,5,4,3,1,15,0.4,0.905,0.993,0.999,1,191
"5000",3,3,5,3,1,15,0.532,0.843,0.989,1,1,191
"5001",4,1,6,3,1,15,0.688,0.809,0.994,1,1,191
"5002",2,6,2,4,1,15,0.407,0.944,0.984,0.999,1,191
"5003",3,4,3,4,1,15,0.553,0.912,0.99,1,1,191
"5004",4,2,4,4,1,15,0.67,0.858,0.984,1,1,191
"5005",5,0,5,4,1,15,0.781,0.834,0.991,1,1,191
"5006",3,5,1,5,1,15,0.552,0.944,0.977,0.999,1,191
"5007",4,3,2,5,1,15,0.658,0.905,0.968,1,1,191
"5008",5,1,3,5,1,15,0.733,0.85,0.975,0.999,1,191
"5009",0,4,6,5,1,14,0,0.713,0.981,0.998,1,191
"5010",4,4,0,6,1,15,0.692,0.942,0.965,0.999,1,191
"5011",5,2,1,6,1,15,0.764,0.901,0.954,0.999,1,191
"5012",6,0,2,6,1,15,0.854,0.889,0.961,1,1,191
"5013",0,5,4,6,1,14,0,0.807,0.972,0.998,1,191
"5014",1,3,5,6,1,14,0.246,0.739,0.982,0.999,1,191
"5015",2,1,6,6,1,14,0.425,0.632,0.975,1,1,191
"5016",5,5,2,0,2,16,0.757,0.976,0.996,1,1,191
"5017",6,3,3,0,2,16,0.841,0.963,0.997,0.997,1,191
"5018",1,6,6,0,2,15,0.244,0.892,0.997,0.999,1,191
"5019",5,6,0,1,2,16,0.764,0.986,0.993,0.998,1,191
"5020",6,4,1,1,2,16,0.832,0.971,0.987,0.996,1,191
"5021",2,5,5,1,2,15,0.411,0.906,0.995,0.999,1,191
"5022",3,3,6,1,2,15,0.561,0.863,0.997,1,1,191
"5023",2,6,3,2,2,15,0.438,0.943,0.99,0.999,1,191
"5024",3,4,4,2,2,15,0.534,0.889,0.98,0.999,1,191
"5025",4,2,5,2,2,15,0.662,0.864,0.987,0.999,1,191
"5026",5,0,6,2,2,15,0.764,0.794,0.99,0.997,1,191
"5027",3,5,2,3,2,15,0.548,0.94,0.982,0.998,1,191
"5028",4,3,3,3,2,15,0.664,0.914,0.988,1,1,191
"5029",5,1,4,3,2,15,0.754,0.863,0.983,1,1,191
"5030",3,6,0,4,2,15,0.536,0.968,0.982,1,1,191
"5031",4,4,1,4,2,15,0.673,0.942,0.976,0.999,1,191
"5032",5,2,2,4,2,15,0.763,0.923,0.981,0.999,0.999,191
"5033",6,0,3,4,2,15,0.822,0.859,0.981,0.999,1,191
"5034",0,5,5,4,2,14,0,0.822,0.99,1,1,191
"5035",1,3,6,4,2,14,0.228,0.699,0.984,1,1,191
"5036",5,3,0,5,2,15,0.768,0.94,0.957,0.999,1,191
"5037",6,1,1,5,2,15,0.813,0.91,0.959,0.999,1,191
"5038",0,6,3,5,2,14,0,0.883,0.97,1,1,191
"5039",1,4,4,5,2,14,0.216,0.812,0.982,1,1,191
"5040",2,2,5,5,2,14,0.376,0.691,0.976,1,1,191
"5041",3,0,6,5,2,14,0.571,0.631,0.97,0.999,1,191
"5042",1,5,2,6,2,14,0.207,0.86,0.953,1,1,191
"5043",2,3,3,6,2,14,0.397,0.8,0.953,0.999,1,191
"5044",3,1,4,6,2,14,0.548,0.713,0.959,0.999,1,191
"5045",6,5,0,0,3,16,0.82,0.98,0.989,0.995,1,191
"5046",2,6,4,0,3,15,0.444,0.936,0.995,0.998,1,191
"5047",3,4,5,0,3,15,0.576,0.921,0.998,0.999,1,191
"5048",4,2,6,0,3,15,0.682,0.86,0.991,0.996,1,191
"5049",3,5,3,1,3,15,0.552,0.943,0.99,0.996,1,191
"5050",4,3,4,1,3,15,0.663,0.898,0.992,0.997,1,191
"5051",5,1,5,1,3,15,0.74,0.847,0.987,0.999,0.999,191
"5052",3,6,1,2,3,15,0.563,0.955,0.978,0.995,1,191
"5053",4,4,2,2,3,15,0.66,0.939,0.981,0.996,1,191
"5054",5,2,3,2,3,15,0.765,0.915,0.985,0.998,1,191
"5055",6,0,4,2,3,15,0.819,0.864,0.992,0.997,1,191
"5056",0,5,6,2,3,14,0,0.792,0.992,0.998,1,191
"5057",4,5,0,3,3,15,0.657,0.957,0.974,0.998,1,191
"5058",5,3,1,3,3,15,0.772,0.941,0.98,0.999,1,191
"5059",6,1,2,3,3,15,0.824,0.895,0.977,0.998,1,191
"5060",0,6,4,3,3,14,0,0.861,0.983,1,1,191
"5061",1,4,5,3,3,14,0.239,0.786,0.982,0.999,1,191
"5062",2,2,6,3,3,14,0.427,0.751,0.987,0.999,1,191
"5063",6,2,0,4,3,15,0.806,0.928,0.944,0.997,1,191
"5064",1,5,3,4,3,14,0.248,0.869,0.978,0.998,1,191
"5065",2,3,4,4,3,14,0.409,0.806,0.976,0.999,1,191
"5066",3,1,5,4,3,14,0.554,0.725,0.973,0.996,1,191
"5067",1,6,1,5,3,14,0.224,0.912,0.957,0.997,1,191
"5068",2,4,2,5,3,14,0.384,0.86,0.958,0.999,1,191
"5069",3,2,3,5,3,14,0.559,0.815,0.958,1,1,191
"5070",4,0,4,5,3,14,0.661,0.717,0.944,0.997,1,191
"5071",2,5,0,6,3,14,0.423,0.908,0.938,0.999,0.999,191
"5072",3,3,1,6,3,14,0.557,0.839,0.93,0.999,1,191
"5073",4,1,2,6,3,14,0.678,0.804,0.929,1,1,191
"5074",3,6,2,0,4,15,0.551,0.959,0.989,0.995,1,191
"5075",4,4,3,0,4,15,0.679,0.941,0.995,0.997,1,191
"5076",5,2,4,0,4,15,0.747,0.896,0.99,0.994,1,191
"5077",6,0,5,0,4,15,0.798,0.846,0.993,0.996,1,191
"5078",4,5,1,1,4,15,0.701,0.966,0.986,0.996,1,191
"5079",5,3,2,1,4,15,0.756,0.944,0.987,0.997,1,191
"5080",6,1,3,1,4,15,0.822,0.903,0.984,0.994,1,191
"5081",0,6,5,1,4,14,0,0.869,0.993,0.997,1,191
"5082",1,4,6,1,4,14,0.246,0.801,0.989,0.999,1,191
"5083",5,4,0,2,4,15,0.776,0.969,0.981,0.996,1,191
"5084",6,2,1,2,4,15,0.831,0.939,0.967,0.994,0.999,191
"5085",1,5,4,2,4,14,0.217,0.846,0.979,0.998,1,191
"5086",2,3,5,2,4,14,0.431,0.814,0.99,0.999,1,191
"5087",3,1,6,2,4,14,0.58,0.735,0.988,0.998,1,191
"5088",1,6,2,3,4,14,0.221,0.907,0.98,1,1,191
"5089",2,4,3,3,4,14,0.417,0.853,0.977,0.995,1,191
"5090",3,2,4,3,4,14,0.567,0.803,0.974,0.995,1,191
"5091",4,0,5,3,4,14,0.683,0.73,0.97,0.999,0.999,191
"5092",2,5,1,4,4,14,0.397,0.895,0.95,0.997,1,191
"5093",3,3,2,4,4,14,0.544,0.852,0.951,0.997,1,191
"5094",4,1,3,4,4,14,0.657,0.803,0.961,0.999,1,191
"5095",3,4,0,5,4,14,0.541,0.908,0.933,0.998,1,191
"5096",4,2,1,5,4,14,0.676,0.855,0.938,0.999,1,191
"5097",5,0,2,5,4,14,0.76,0.809,0.944,0.998,1,191
"5098",0,3,5,5,4,13,0,0.616,0.959,0.998,1,191
"5099",0,4,3,6,4,13,0,0.719,0.926,0.999,1,191
"5100",1,2,4,6,4,13,0.248,0.606,0.941,0.999,1,191
"5101",4,6,0,0,5,15,0.65,0.982,0.987,0.994,1,191
"5102",5,4,1,0,5,15,0.75,0.971,0.987,0.994,1,191
"5103",6,2,2,0,5,15,0.834,0.943,0.989,0.995,1,191
"5104",1,5,5,0,5,14,0.219,0.859,0.992,0.995,1,191
"5105",2,3,6,0,5,14,0.422,0.803,0.978,0.988,1,191
"5106",6,3,0,1,5,15,0.826,0.96,0.973,0.993,1,191
"5107",1,6,3,1,5,14,0.228,0.913,0.984,0.994,1,191
"5108",2,4,4,1,5,14,0.421,0.855,0.99,0.996,1,191
"5109",3,2,5,1,5,14,0.557,0.78,0.985,0.994,1,191
"5110",4,0,6,1,5,14,0.651,0.701,0.984,0.992,1,191
"5111",2,5,2,2,5,14,0.413,0.921,0.979,0.993,1,191
"5112",3,3,3,2,5,14,0.531,0.851,0.979,0.997,1,191
"5113",4,1,4,2,5,14,0.651,0.812,0.981,0.995,1,191
"5114",2,6,0,3,5,14,0.417,0.937,0.956,0.995,1,191
"5115",3,4,1,3,5,14,0.551,0.897,0.954,0.997,1,191
"5116",4,2,2,3,5,14,0.663,0.86,0.959,0.992,1,191
"5117",5,0,3,3,5,14,0.731,0.781,0.956,0.994,1,191
"5118",0,3,6,3,5,13,0,0.611,0.974,0.996,1,191
"5119",4,3,0,4,5,14,0.704,0.917,0.94,0.996,1,191
"5120",5,1,1,4,5,14,0.748,0.857,0.929,0.993,1,191
"5121",0,4,4,4,5,13,0,0.747,0.962,0.999,1,191
"5122",1,2,5,4,5,13,0.242,0.621,0.965,0.998,1,191
"5123",6,0,0,5,5,14,0.836,0.877,0.907,0.994,1,191
"5124",0,5,2,5,5,13,0,0.8,0.933,0.998,1,191
"5125",1,3,3,5,5,13,0.204,0.721,0.933,0.997,1,191
"5126",2,1,4,5,5,13,0.414,0.607,0.935,0.996,1,191
"5127",2,5,3,0,6,14,0.42,0.898,0.978,0.985,1,191
"5128",3,3,4,0,6,14,0.535,0.854,0.988,0.996,1,191
"5129",4,1,5,0,6,14,0.694,0.821,0.982,0.991,1,191
"5130",2,6,1,1,6,14,0.402,0.925,0.975,0.99,1,191
"5131",3,4,2,1,6,14,0.533,0.903,0.971,0.991,1,191
"5132",4,2,3,1,6,14,0.656,0.84,0.964,0.986,1,191
"5133",5,0,4,1,6,14,0.744,0.789,0.974,0.992,1,191
"5134",3,5,0,2,6,14,0.579,0.946,0.961,0.995,1,191
"5135",4,3,1,2,6,14,0.684,0.902,0.951,0.989,1,191
"5136",5,1,2,2,6,14,0.763,0.864,0.963,0.989,1,191
"5137",0,4,5,2,6,13,0,0.715,0.98,0.997,1,191
"5138",1,2,6,2,6,13,0.225,0.633,0.986,0.996,1,191
"5139",5,2,0,3,6,14,0.788,0.917,0.938,0.991,1,191
"5140",6,0,1,3,6,14,0.834,0.878,0.948,0.998,1,191
"5141",0,5,3,3,6,13,0,0.814,0.969,0.997,1,191
"5142",1,3,4,3,6,13,0.221,0.723,0.951,0.995,1,191
"5143",2,1,5,3,6,13,0.416,0.62,0.961,0.997,1,191
"5144",0,6,1,4,6,13,0,0.861,0.933,0.995,1,191
"5145",1,4,2,4,6,13,0.232,0.8,0.923,0.996,1,191
"5146",2,2,3,4,6,13,0.404,0.741,0.933,0.993,1,191
"5147",3,0,4,4,6,13,0.563,0.621,0.938,0.996,1,191
"5148",3,6,5,0,0,16,0.542,0.961,0.997,0.999,1,190
"5149",4,4,6,0,0,16,0.68,0.946,0.998,0.999,0.999,190
"5150",4,5,4,1,0,16,0.668,0.956,0.997,0.999,0.999,190
"5151",5,3,5,1,0,16,0.77,0.945,0.999,1,1,190
"5152",6,1,6,1,0,16,0.813,0.919,0.997,0.999,1,190
"5153",4,6,2,2,0,16,0.65,0.971,0.996,1,1,190
"5154",5,4,3,2,0,16,0.751,0.952,0.995,1,1,190
"5155",6,2,4,2,0,16,0.842,0.94,0.999,1,1,190
"5156",5,5,1,3,0,16,0.76,0.972,0.988,1,1,190
"5157",6,3,2,3,0,16,0.818,0.958,0.992,1,1,190
"5158",1,6,5,3,0,15,0.24,0.924,0.998,1,1,190
"5159",2,4,6,3,0,15,0.358,0.863,0.998,1,1,190
"5160",6,4,0,4,0,16,0.814,0.982,0.99,1,1,190
"5161",2,5,4,4,0,15,0.427,0.915,0.993,1,1,190
"5162",3,3,5,4,0,15,0.582,0.858,0.987,1,1,190
"5163",4,1,6,4,0,15,0.674,0.803,0.987,1,1,190
"5164",2,6,2,5,0,15,0.413,0.933,0.982,1,1,190
"5165",3,4,3,5,0,15,0.586,0.919,0.991,1,1,190
"5166",4,2,4,5,0,15,0.665,0.853,0.983,1,1,190
"5167",5,0,5,5,0,15,0.753,0.809,0.983,0.999,1,190
"5168",3,5,1,6,0,15,0.55,0.941,0.971,0.998,1,190
"5169",4,3,2,6,0,15,0.673,0.91,0.98,1,1,190
"5170",5,1,3,6,0,15,0.744,0.861,0.977,1,1,190
"5171",0,4,6,6,0,14,0,0.739,0.989,1,1,190
"5172",4,6,3,0,1,16,0.677,0.982,0.998,1,1,190
"5173",5,4,4,0,1,16,0.779,0.966,0.996,0.998,0.999,190
"5174",6,2,5,0,1,16,0.808,0.924,0.996,0.998,1,190
"5175",5,5,2,1,1,16,0.752,0.97,0.992,0.999,1,190
